"","x"
"1","Austin Cameron"
"2","Bill Elliott"
"3","Bobby Hamilton"
"4","Bobby Labonte"
"5","Boris Said"
"6","Brett Bodine"
"7","Buckshot Jones"
"8","Carl Long"
"9","Casey Atwood"
"10","Chad Little"
"11","Christian Fittipaldi"
"12","Dale Earnhardt Jr."
"13","Dale Jarrett"
"14","Dave Blaney"
"15","Dave Marcis"
"16","Derrike Cope"
"17","Dick Trickle"
"18","Elliott Sadler"
"19","Frank Kimmel"
"20","Geoffrey Bodine"
"21","Greg Biffle"
"22","Hank Parker, Jr"
"23","Hermie Sadler"
"24","Hideo Fukuyama"
"25","Hut Stricklin"
"26","Jack Sprague"
"27","Jamie McMurray"
"28","Jason Leffler"
"29","Jason Small"
"30","Jay Sauter"
"31","Jeff Burton"
"32","Jeff Gordon"
"33","Jeff Green"
"34","Jeremy Mayfield"
"35","Jerry Nadeau"
"36","Jim Inglebright"
"37","Jimmie Johnson"
"38","Jimmy Spencer"
"39","Joe Nemechek"
"40","Joe Varde"
"41","John Andretti"
"42","Johnny Benson"
"43","Ken Schrader"
"44","Kenny Wallace"
"45","Kevin Harvick"
"46","Kevin Lepage"
"47","Kirk Shelmerdine"
"48","Kurt Busch"
"49","Kyle Petty"
"50","Lance Hooper"
"51","Mark Martin"
"52","Matt Kenseth"
"53","Michael Waltrip"
"54","Mike Bliss"
"55","Mike Skinner"
"56","Mike Wallace"
"57","Morgan Shepherd"
"58","PJ Jones"
"59","Rick Mast"
"60","Ricky Craven"
"61","Ricky Rudd"
"62","Robby Gordon"
"63","Robert Pressley"
"64","Ron Fellows"
"65","Ron Hornaday"
"66","Rusty Wallace"
"67","Ryan Newman"
"68","Scott Pruett"
"69","Scott Wimmer"
"70","Shawna Robinson"
"71","Stacy Compton"
"72","Sterling Marlin"
"73","Steve Grissom"
"74","Steve Park"
"75","Stuart Kirby"
"76","Ted Musgrave"
"77","Terry Labonte"
"78","Tim Sauter"
"79","Todd Bodine"
"80","Tom Hubert"
"81","Tony Raines"
"82","Tony Stewart"
"83","Ward Burton"
"84","Andy Hillenburg"
"85","Gary Bradberry"
"86","Jason Hedlesky"
"87","Randy Renfrow"
